"factor"	"Latitude"	"Longitude"	"times"
"home"	56.3421287863044	-2.79027436726459	1.89443972756482
"home"	56.3420047157426	-2.79028231021563	3.30662317988279
"home"	56.342167982565	-2.79013580209921	3.32351477338367
"home"	56.3420193176583	-2.79033848994887	4.40120137308115
"home"	56.341993705222	-2.79032426620675	4.97528333074208
"home"	56.3419120341055	-2.79027590721341	5.10396022291265
"home"	56.3420669432184	-2.7900671933557	11.7341941907198
"home"	56.3420373937186	-2.79029348176901	12.562879174457
"home"	56.3419865359575	-2.79013201526849	13.2952632549071
"work"	56.3368701946633	-2.81601222639479	13.798413057112
"home"	56.3419729870394	-2.79021964241485	13.8215942956566
"home"	56.3420356535988	-2.79024089221273	15.0131005148453
"home"	56.3420797097209	-2.79041117245569	15.0146105365577
"home"	56.3420421690973	-2.79034940461318	15.1831052042538
"work"	56.3365970181324	-2.81607971119294	15.2163684835891
"work"	56.3369115044059	-2.81610103777862	16.450474896415
"home"	56.342131368809	-2.79022364505491	16.6152086144148
"work"	56.3368718959266	-2.81613703071548	16.79543762832
"pub"	56.3385609561866	-2.80125535768711	17.3547208764078
"work"	56.3367746694101	-2.81610074470073	18.8829963822503
"home"	56.3422480615097	-2.79034779893993	18.9285208790189
"home"	56.3420729411774	-2.79024394525015	19.0164103126809
"work"	56.3369032518185	-2.81611790309986	19.4123903279837
"home"	56.3419422022387	-2.79028602769517	19.5852908063722
"work"	56.3368860028987	-2.81599373474377	20.2225284918568
"home"	56.3417803493485	-2.79042035506177	20.365289894035
"pub"	56.3383705933914	-2.80144613453006	21.7438243305881
"work"	56.3367328976772	-2.81608022119267	23.3689021626087
"home"	56.3418683288759	-2.79020321715469	25.4684801957728
"home"	56.342017732238	-2.79034531895116	25.5073524788633
"home"	56.3419388360552	-2.79044199045984	26.1581379285626
"home"	56.3421220148671	-2.79038770457676	26.2167947731053
"pub"	56.3384262144363	-2.80127476755403	26.5796328273823
"work"	56.3367266506426	-2.8160055798497	26.6337639603904
"home"	56.3420486282763	-2.7900854427516	29.553947043117
"home"	56.3418523445044	-2.79031653896232	29.8327058472672
"home"	56.3420157167016	-2.79042063398932	30.2579870454922
"work"	56.3366105168429	-2.81599227272877	30.2702608576045
"work"	56.3368142602324	-2.81607929491921	31.0862779570438
"work"	56.3367171953857	-2.81609019971961	31.5119737615204
"home"	56.3419895078963	-2.79033976561362	32.7139765260649
"home"	56.3422990994148	-2.79029136906103	32.8803361216624
"home"	56.341951743218	-2.79037774141155	32.9737805290002
"work"	56.3368171499106	-2.81610551664793	32.9782363694328
"home"	56.3420902535922	-2.79053205577767	33.0621189643584
"home"	56.3420138069356	-2.79043088818579	33.2265357003176
"home"	56.3419502202055	-2.79031392430602	33.9484914258029
"home"	56.342205852998	-2.79020938141441	34.2400402269221
"pub"	56.3384724660194	-2.80111964524018	34.4545338790378
"home"	56.3420062514181	-2.7902776395202	36.0721612949896
"home"	56.3419284369555	-2.79027735581114	36.587709890261
"home"	56.3420298718121	-2.79044960099757	36.6208022361451
"work"	56.3367203440743	-2.81600540924616	36.6727181749879
"work"	56.3367648034573	-2.81622997624123	36.7402476237344
"home"	56.3419685125954	-2.79038217690469	36.8372886775853
"home"	56.341942229698	-2.79021452957837	37.3284149853396
"home"	56.3420352484841	-2.79022890346474	38.806926130034
"home"	56.341905172008	-2.79017658374619	42.9717657151823
"home"	56.3420637013798	-2.7902239174647	43.0248714110863
"work"	56.3368342798598	-2.81602589169017	43.7523243536258
"home"	56.3421863441498	-2.79024790726709	43.798205993834
"pub"	56.3384392792517	-2.80116260208416	44.2773397193166
"pub"	56.3384072128464	-2.80130655184484	44.5629847372076
"work"	56.3368564226787	-2.81589822687533	44.5801633413892
"work"	56.3368948786596	-2.81618094459911	45.6923606962022
"work"	56.3368018353346	-2.81608513134032	46.4358375703756
"home"	56.3419928870475	-2.79023906017925	46.4547727163646
"pub"	56.3384784389728	-2.80114497387033	47.9513081806501
"work"	56.3367871100757	-2.81611638887574	47.9556354806944
"home"	56.3420945178727	-2.7901581187863	48.06767252372
